DATE,ATNHPIUS37119A
1975-01-01,26.49
1976-01-01,29.00
1977-01-01,31.10
1978-01-01,35.06
1979-01-01,39.37
1980-01-01,43.55
1981-01-01,47.35
1982-01-01,47.07
1983-01-01,48.31
1984-01-01,53.40
1985-01-01,56.46
1986-01-01,58.52
1987-01-01,62.61
1988-01-01,67.32
1989-01-01,70.53
1990-01-01,71.55
1991-01-01,72.41
1992-01-01,73.18
1993-01-01,73.80
1994-01-01,76.00
1995-01-01,80.38
1996-01-01,84.68
1997-01-01,89.01
1998-01-01,92.46
1999-01-01,96.04
2000-01-01,100.00
2001-01-01,103.57
2002-01-01,105.25
2003-01-01,106.42
2004-01-01,108.92
2005-01-01,114.91
2006-01-01,123.64
2007-01-01,132.85
2008-01-01,135.83
2009-01-01,129.86
2010-01-01,119.43
2011-01-01,114.47
2012-01-01,112.28
2013-01-01,117.71
2014-01-01,126.01
2015-01-01,133.85
2016-01-01,145.13
2017-01-01,158.13
2018-01-01,171.93
2019-01-01,179.51
2020-01-01,188.30
